año,M1
1981,606.975
1982,789.90833
1983,1133.86667
1984,2154.4
1985,8693.57083
1986,31470.34167
1987,51736.99583
1988,162228.0083
1989,2927.23436
1990,137659.23
1991,609.09013
1992,1028.54133
1993,1542.4375
1994,2156.91667
1995,3035.71667
1996,3498.80833
1997,3976.64167
1998,4472.59167
1999,4771.91667
2000,5056.425
2001,5216.722607
2002,6038.467931
2003,6482.598508
2004,7704.387309
2005,9886.041544
2006,11588.65337
2007,14439.86776
2008,21441.79767
2009,20584.42338
2010,26031.82657
2011,35312.08898
2012,44838.71087
2013,54905.55043
2014,50228.00736
2015,48091.30696
2016,50138.40676
2017,52594.8248
2018,57148.75125
"		",
