year,c,p,wp,wg,w,i,k,y,g,t,yr
1920,39.8,12.7,28.8,2.2,31,2.7,182.8,44.9,2.4,3.4,-11
1921,41.9,12.4,25.5,2.7,28.2,-.2,182.6,45.6,3.9,7.7,-10
1922,45,16.9,29.3,2.9,32.2,1.9,184.5,50.1,3.2,3.9,-9
1923,49.2,18.4,34.1,2.9,37,5.2,189.7,57.2,2.8,4.7,-8
1924,50.6,19.4,33.9,3.1,37,3,192.7,57.1,3.5,3.8,-7
1925,52.6,20.1,35.4,3.2,38.6,5.1,197.8,61,3.3,5.5,-6
1926,55.1,19.6,37.4,3.3,40.7,5.6,203.4,64,3.3,7,-5
1927,56.2,19.8,37.9,3.6,41.5,4.2,207.6,64.4,4,6.7,-4
1928,57.3,21.1,39.2,3.7,42.9,3,210.6,64.5,4.2,4.2,-3
1929,57.8,21.7,41.3,4,45.3,5.1,215.7,67,4.1,4,-2
1930,55,15.6,37.9,4.2,42.1,1,216.7,61.2,5.2,7.7,-1
1931,50.9,11.4,34.5,4.8,39.3,-3.4,213.3,53.4,5.9,7.5,0
1932,45.6,7,29,5.3,34.3,-6.2,207.1,44.3,4.9,8.3,1
1933,46.5,11.2,28.5,5.6,34.1,-5.1,202,45.1,3.7,5.4,2
1934,48.7,12.3,30.6,6,36.6,-3,199,49.7,4,6.8,3
1935,51.3,14,33.2,6.1,39.3,-1.3,197.7,54.4,4.4,7.2,4
1936,57.7,17.6,36.8,7.4,44.2,2.1,199.8,62.7,2.9,8.3,5
1937,58.7,17.3,41,6.7,47.7,2,201.8,65,4.3,6.7,6
1938,57.5,15.3,38.2,7.7,45.9,-1.9,199.9,60.9,5.3,7.4,7
1939,61.6,19,41.6,7.8,49.4,1.3,201.2,69.5,6.6,8.9,8
1940,65,21.1,45,8,53,3.3,204.5,75.7,7.4,9.6,9
1941,69.7,23.5,53.3,8.5,61.8,4.9,209.4,88.4,13.8,11.6,10
