Date,Boeing,UNH,IBM,Merck ,APPLE
9/30/2016,124.96,134.51,145.69,58.818,108.92
10/3/2016,124.84,134.19,144.62,58.761,109.39
10/4/2016,127.11,133.64,145.20,59.081,109.44
10/5/2016,126.89,132.55,145.01,58.949,110.25
10/6/2016,126.35,132.73,143.89,59.053,110.41
10/7/2016,128.23,134.11,145.14,60.116,112.34
10/10/2016,126.24,130.87,143.08,58.263,112.58
10/11/2016,125.70,131.21,142.62,58.009,113.59
10/12/2016,125.91,130.33,142.09,58.808,113.24
10/13/2016,126.02,130.07,142.77,58.460,113.87
10/14/2016,126.49,130.27,143.06,57.877,113.79
10/17/2016,127.53,139.27,139.32,58.413,113.71
10/18/2016,128.55,140.22,139.82,58.206,113.38
10/19/2016,128.23,140.90,140.06,58.253,113.32
10/20/2016,128.03,141.19,138.31,57.576,112.87
10/21/2016,129.75,140.53,139.18,57.153,113.89
10/24/2016,131.23,139.65,139.47,58.282,114.47
10/25/2016,137.38,138.14,140.33,57.265,111.89
10/26/2016,135.28,137.86,141.75,57.661,110.82
10/27/2016,135.00,136.31,141.06,55.356,110.08
10/28/2016,134.45,137.27,142.06,55.243,109.91
10/31/2016,134.43,135.42,141.23,55.788,107.93
11/1/2016,132.86,134.98,140.45,55.356,108.02
11/2/2016,132.17,133.87,140.84,54.970,106.86
11/3/2016,131.72,133.75,140.90,55.337,105.90
11/4/2016,135.01,137.85,143.94,56.494,107.43
11/7/2016,135.26,138.79,144.73,56.927,108.06
11/8/2016,139.08,137.82,144.40,60.379,107.89
11/9/2016,141.57,141.93,149.44,61.113,104.88
11/10/2016,142.36,142.21,150.42,60.163,105.50
11/11/2016,143.77,147.90,147.57,59.768,102.86
11/14/2016,141.97,147.85,148.00,59.881,104.22
11/15/2016,140.37,147.14,148.58,58.921,107.02
11/16/2016,139.31,146.43,149.05,58.987,106.98
11/17/2016,140.28,145.15,149.60,58.206,107.09
11/18/2016,140.93,146.08,151.82,58.611,108.71
11/21/2016,143.32,147.88,151.73,58.046,108.78
11/22/2016,143.53,149.12,151.08,57.990,108.23
11/23/2016,143.82,148.42,152.17,58.526,108.77
11/25/2016,143.56,147.74,153.45,58.140,108.56
11/28/2016,145.36,153.06,152.53,58.507,108.45
11/29/2016,144.32,154.38,151.31,57.567,107.54
11/30/2016,146.07,156.93,149.07,57.162,106.53
12/1/2016,145.94,156.73,149.26,57.510,106.93
12/2/2016,145.85,153.71,149.09,56.682,106.16
12/5/2016,145.93,153.40,149.56,56.710,106.98
12/6/2016,147.75,155.43,153.71,56.503,108.03
12/7/2016,148.95,155.35,154.24,56.560,109.09
12/8/2016,150.00,156.13,155.32,57.604,110.87
12/9/2016,150.65,155.52,154.37,58.065,110.24
12/12/2016,150.17,156.54,156.97,58.577,112.08
12/13/2016,148.07,155.88,157.17,58.587,112.08
12/14/2016,147.40,156.62,156.72,59.127,112.69
12/15/2016,148.10,159.86,155.51,59.193,112.84
12/16/2016,149.71,157.52,155.47,57.961,113.49
12/19/2016,149.91,157.57,156.33,57.354,113.79
12/20/2016,150.95,157.31,156.07,56.340,113.90
