Fecha,Nemónico,ISIN,Emisor,Moneda,P. Limpio (%),TIR %,Origen(*),Spreads,P. Limpio (monto),P. Sucio (monto),I.C. (monto),F. Vencimiento,F. Emisión,Cupón,Margen_Libor (%),TIR % S/Opc,Rating,Ult. Cupón,Prox. Cupón,Duración
4/1/2016,ALICO3BC1A,PEP21400M056,ALICORP S.A.,PEN,97.761,6.199,,0.928,977.614,980.098,2.484,17/12/2017,17/12/2014,4.969,0,6.199,AAA,17/12/2015,17/06/2016,1.907
4/1/2016,ALICO3BC2A,PEP21400M064,ALICORP S.A.,PEN,86.776,8.883,,1.381,867.763,900.041,32.278,22/01/2030,22/01/2015,7,0,8.883,AAA,22/07/2015,22/01/2016,7.718
4/1/2016,BAGRO1CP1A,PEP11450V013,Agrobanco,PEN,95.704,7.082,,2.659,957.041,957.041,0,22/08/2016,28/08/2015,0,0,7.082,,28/08/2015,22/08/2016,0.642
4/1/2016,BFAL1BC1A,PEP14150M015,BANCO FALABELLA,PEN,99.816,6.766,,2.097,149.724,150.587,0.864,2/9/2016,2/9/2011,6.281,0,6.766,AA-,2/12/2015,2/3/2016,0.411
4/1/2016,BFAL1BC1B,PEP14150M031,BANCO FALABELLA,PEN,99.97,6.366,,1.626,199.94,200.429,0.489,21/12/2016,21/12/2011,6.281,0,6.366,AA,21/12/2015,21/03/2016,0.587
4/1/2016,BFAL1BC4A,PEP14150M056,BANCO FALABELLA,PEN,96.306,7.144,,1.468,584.717,585.421,0.704,27/03/2020,27/03/2013,5.219,0,7.144,AA-,27/12/2015,27/03/2016,2.084
4/1/2016,BFAL1BC7A,PEP14150M072,BANCO FALABELLA,PEN,96.522,7.706,,2.107,772.179,773.84,1.661,22/12/2019,22/12/2014,5.75,0,7.706,AA-,22/12/2015,22/03/2016,1.951
4/1/2016,BRIPL3BC2U,PEP14300M123,BCO RIPLEY,PEN,98.426,7.615,,2.807,984.261,989.105,4.844,5/12/2016,5/6/2013,5.813,0,7.615,A+,5/12/2015,5/6/2016,0.919
4/1/2016,BRIPL3BC3A,PEP14300M131,BCO RIPLEY,PEN,98.637,8.157,,3.205,986.368,1002.896,16.528,11/4/2017,11/10/2013,7,0,8.157,A+,11/10/2015,11/4/2016,1.235
4/1/2016,BRIPL4BC1A,PEP14300M149,BCO RIPLEY,PEN,97.76,7.534,,2.505,977.599,981.332,3.734,12/6/2017,12/12/2014,5.844,0,7.534,A+,12/12/2015,12/6/2016,1.415
4/1/2016,BRIPL4BC1B,PEP14300M156,BCO RIPLEY,PEN,97.35,8.112,,2.908,973.495,985.592,12.097,29/10/2017,29/04/2015,6.5,0,8.112,A+,29/10/2015,29/04/2016,1.749
4/1/2016,BRIPL4CD1C,PEP14300Q561,BCO RIPLEY,PEN,97.343,6.286,,2.027,973.433,973.433,0,11/6/2016,17/06/2015,0,0,6.286,,17/06/2015,11/6/2016,0.442
4/1/2016,BRIPL4CD1D,PEP14300Q579,BCO RIPLEY,PEN,94.753,7.175,,2.629,947.532,947.532,0,10/10/2016,16/10/2015,0,0,7.175,,16/10/2015,10/10/2016,0.778
4/1/2016,CD04ENE16,CD04ENE16,BCRP,PEN,100,0,,0,1000,1000,0,4/1/2016,2/10/2015,0,0,0,,4/1/2016,,0
4/1/2016,CD06ABR17,CD06ABR17,BCRP,PEN,94.043,4.946,,0,940.43,940.43,0,6/4/2017,28/10/2015,0,0,4.946,,28/10/2015,6/4/2017,1.272
4/1/2016,CD06OCT16,CD06OCT16,BCRP,PEN,96.656,4.536,,0,966.562,966.562,0,6/10/2016,29/10/2015,0,0,4.536,,29/10/2015,6/10/2016,0.767
4/1/2016,CD07ABR16,CD07ABR16,BCRP,PEN,98.931,4.2,,0,989.315,989.315,0,7/4/2016,26/10/2015,0,0,4.2,,26/10/2015,7/4/2016,0.261
4/1/2016,CD07ENE16,CD07ENE16,BCRP,PEN,99.967,3.986,,0,999.674,999.674,0,7/1/2016,22/01/2015,0,0,3.986,,22/01/2015,7/1/2016,0.008
4/1/2016,CD08JUN17,CD08JUN17,BCRP,PEN,93.071,5.087,,0,930.713,930.713,0,8/6/2017,30/12/2015,0,0,5.087,,30/12/2015,8/6/2017,1.447
4/1/2016,CD08SET16,CD08SET16,BCRP,PEN,97.035,4.466,,0,970.351,970.351,0,8/9/2016,24/09/2015,0,0,4.466,,24/09/2015,8/9/2016,0.689
4/1/2016,CD09FEB17,CD09FEB17,BCRP,PEN,94.866,4.833,,0,948.658,948.658,0,9/2/2017,26/08/2015,0,0,4.833,,26/08/2015,9/2/2017,1.117
4/1/2016,CD09JUN16,CD09JUN16,BCRP,PEN,98.222,4.2,,0,982.218,982.218,0,9/6/2016,28/12/2015,0,0,4.2,,28/12/2015,9/6/2016,0.436
4/1/2016,CD09MAR17,CD09MAR17,BCRP,PEN,94.456,4.891,,0,944.556,944.556,0,9/3/2017,30/09/2015,0,0,4.891,,30/09/2015,9/3/2017,1.194
4/1/2016,CD10JUN16,CD10JUN16,BCRP,PEN,98.187,4.258,,0,981.867,981.867,0,10/6/2016,15/12/2015,0,0,4.258,,15/12/2015,10/6/2016,0.439
4/1/2016,CD10MAR16,CD10MAR16,BCRP,PEN,99.264,4.11,,0,992.644,992.644,0,10/3/2016,16/12/2015,0,0,4.11,,16/12/2015,10/3/2016,0.183
4/1/2016,CD10NOV16,CD10NOV16,BCRP,PEN,96.171,4.623,,0,961.711,961.711,0,10/11/2016,26/11/2015,0,0,4.623,,26/11/2015,10/11/2016,0.864
4/1/2016,CD11AGO16,CD11AGO16,BCRP,PEN,97.405,4.397,,0,974.046,974.046,0,11/8/2016,27/08/2015,0,0,4.397,,27/08/2015,11/8/2016,0.611
4/1/2016,CD11FEB16,CD11FEB16,BCRP,PEN,99.58,4.069,,0,995.799,995.799,0,11/2/2016,24/08/2015,0,0,4.069,,24/08/2015,11/2/2016,0.106
4/1/2016,CD11MAY17,CD11MAY17,BCRP,PEN,93.525,5.01,,0,935.252,935.252,0,11/5/2017,25/11/2015,0,0,5.01,,25/11/2015,11/5/2017,1.369
4/1/2016,CD12ENE17,CD12ENE17,BCRP,PEN,95.273,4.772,,0,952.727,952.727,0,12/1/2017,22/07/2015,0,0,4.772,,22/07/2015,12/1/2017,1.039
4/1/2016,CD12MAY16,CD12MAY16,BCRP,PEN,98.536,4.203,,0,985.356,985.356,0,12/5/2016,23/11/2015,0,0,4.203,,23/11/2015,12/5/2016,0.358
4/1/2016,CD13ENE16,CD13ENE16,BCRP,PEN,99.903,3.975,Mercado,0,999.026,999.026,0,13/01/2016,16/10/2015,0,0,3.975,,16/10/2015,13/01/2016,0.025
4/1/2016,CD14ENE16,CD14ENE16,BCRP,PEN,99.892,3.975,Mercado,0,998.918,998.918,0,14/01/2016,14/10/2015,0,0,3.975,,14/10/2015,14/01/2016,0.028
4/1/2016,CD14JUL16,CD14JUL16,BCRP,PEN,97.742,4.376,Mercado,0,977.419,977.419,0,14/07/2016,4/1/2016,0,0,4.376,,4/1/2016,14/07/2016,0.533
4/1/2016,CD15DIC16,CD15DIC16,BCRP,PEN,95.69,4.69,,0,956.905,956.905,0,15/12/2016,31/12/2015,0,0,4.69,,31/12/2015,15/12/2016,0.961
4/1/2016,CD17JUN16,CD17JUN16,BCRP,PEN,98.11,4.25,,0,981.104,981.104,0,17/06/2016,22/12/2015,0,0,4.25,,22/12/2015,17/06/2016,0.458
4/1/2016,CD21ENE16,CD21ENE16,BCRP,PEN,99.814,4.025,Mercado,0,998.138,998.138,0,21/01/2016,22/10/2015,0,0,4.025,,22/10/2015,21/01/2016,0.047
4/1/2016,CD23MAR16,CD23MAR16,BCRP,PEN,99.116,4.127,,0,991.165,991.165,0,23/03/2016,23/12/2015,0,0,4.127,,23/12/2015,23/03/2016,0.219
4/1/2016,CD23NOV16,CD23NOV16,BCRP,PEN,95.988,4.655,,0,959.881,959.881,0,23/11/2016,25/11/2015,0,0,4.655,,25/11/2015,23/11/2016,0.9
4/1/2016,CD24JUN16,CD24JUN16,BCRP,PEN,98.015,4.287,,0,980.146,980.146,0,24/06/2016,24/12/2015,0,0,4.287,,24/12/2015,24/06/2016,0.478
4/1/2016,CD25MAY16,CD25MAY16,BCRP,PEN,98.38,4.226,,0,983.805,983.805,0,25/05/2016,26/11/2015,0,0,4.226,,26/11/2015,25/05/2016,0.394
4/1/2016,CV20MAY16A,,BCRP,PEN,99.933,3.683,,,1003.346,1003.346,0,20/05/2016,23/11/2015,0,0,3.683,,23/11/2015,20/05/2016,0.381
4/1/2016,R04ENE16-1,R04ENE16-1,BCRP,PEN,100,0,,-0.05,1058.646,1058.646,0,4/1/2016,1/10/2015,0,0,0,,4/1/2016,,0
4/1/2016,R04FEB16-1,R04FEB16-1,BCRP,PEN,103.76,0.538,,0.168,1037.6,1037.6,0,4/2/2016,4/11/2015,0,0,0.538,,4/11/2015,4/2/2016,0.083
4/1/2016,R05FEB16-1,R05FEB16-1,BCRP,PEN,103.576,0.641,,0.27,1035.763,1035.763,0,5/2/2016,5/11/2015,0,0,0.641,,5/11/2015,5/2/2016,0.086
